2013-01-10 23:14:41 status half-installed libsasl2-2:armhf 2.1.25.dfsg1-5
2013-01-10 23:14:42 status unpacked libsasl2-2:armhf 2.1.25.dfsg1-5
2013-01-10 23:14:42 status unpacked libsasl2-2:armhf 2.1.25.dfsg1-5
2013-01-10 23:14:42 install libldap-2.4-2:armhf <none> 2.4.31-1ubuntu2
2013-01-10 23:14:42 status half-installed libldap-2.4-2:armhf 2.4.31-1ubuntu2
2013-01-10 23:14:42 status unpacked libldap-2.4-2:armhf 2.4.31-1ubuntu2
2013-01-10 23:14:42 status unpacked libldap-2.4-2:armhf 2.4.31-1ubuntu2
2013-01-10 23:14:44 install libusb-1.0-0:armhf <none> 2:1.0.12-2
2013-01-10 23:14:44 status half-installed libusb-1.0-0:armhf 2:1.0.12-2
2013-01-10 23:14:44 status unpacked libusb-1.0-0:armhf 2:1.0.12-2
2013-01-10 23:14:44 status unpacked libusb-1.0-0:armhf 2:1.0.12-2
2013-01-10 23:14:44 install libxau6:armhf <none> 1:1.0.7-1
2013-01-10 23:14:44 status half-installed libxau6:armhf 1:1.0.7-1
2013-01-10 23:14:44 status unpacked libxau6:armhf 1:1.0.7-1
2013-01-10 23:14:44 status unpacked libxau6:armhf 1:1.0.7-1
2013-01-10 23:14:44 install libxdmcp6:armhf <none> 1:1.1.1-1
2013-01-10 23:14:44 status half-installed libxdmcp6:armhf 1:1.1.1-1
2013-01-10 23:14:45 status unpacked libxdmcp6:armhf 1:1.1.1-1
2013-01-10 23:14:45 status unpacked libxdmcp6:armhf 1:1.1.1-1
2013-01-10 23:14:47 install libxcb1:armhf <none> 1.8.1-1ubuntu1
2013-01-10 23:14:47 status half-installed libxcb1:armhf 1.8.1-1ubuntu1
2013-01-10 23:14:48 status unpacked libxcb1:armhf 1.8.1-1ubuntu1
2013-01-10 23:14:48 status unpacked libxcb1:armhf 1.8.1-1ubuntu1
2013-01-10 23:14:49 install console-data:all <none> 2:1.12-2
2013-01-10 23:14:49 status half-installed console-data:all 2:1.12-2
2013-01-10 23:14:53 status unpacked console-data:all 2:1.12-2
2013-01-10 23:14:53 status unpacked console-data:all 2:1.12-2
2013-01-10 23:14:55 install console-common:all <none> 0.7.87
2013-01-10 23:14:55 status half-installed console-common:all 0.7.87
2013-01-10 23:14:56 status half-installed console-common:all 0.7.87
2013-01-10 23:14:56 status unpacked console-common:all 0.7.87
2013-01-10 23:14:56 status unpacked console-common:all 0.7.87
2013-01-10 23:14:57 install libjack-jackd2-0:armhf <none> 1.9.8~dfsg.4+20120529git007cdc37-2ubuntu1
2013-01-10 23:14:57 status half-installed libjack-jackd2-0:armhf 1.9.8~dfsg.4+20120529git007cdc37-2ubuntu1
2013-01-10 23:14:57 status unpacked libjack-jackd2-0:armhf 1.9.8~dfsg.4+20120529git007cdc37-2ubuntu1
2013-01-10 23:14:57 status unpacked libjack-jackd2-0:armhf 1.9.8~dfsg.4+20120529git007cdc37-2ubuntu1
2013-01-10 23:14:57 install libportaudio2:armhf <none> 19+svn20111121-1build1
2013-01-10 23:14:57 status half-installed libportaudio2:armhf 19+svn20111121-1build1
2013-01-10 23:14:57 status unpacked libportaudio2:armhf 19+svn20111121-1build1
2013-01-10 23:14:57 status unpacked libportaudio2:armhf 19+svn20111121-1build1
2013-01-10 23:14:58 install libjson0:armhf <none> 0.10-1ubuntu1
2013-01-10 23:14:58 status half-installed libjson0:armhf 0.10-1ubuntu1
2013-01-10 23:14:58 status unpacked libjson0:armhf 0.10-1ubuntu1
2013-01-10 23:14:58 status unpacked libjson0:armhf 0.10-1ubuntu1
2013-01-10 23:14:58 install libogg0:armhf <none> 1.3.0-4
2013-01-10 23:14:58 status half-installed libogg0:armhf 1.3.0-4
2013-01-10 23:14:58 status unpacked libogg0:armhf 1.3.0-4
2013-01-10 23:14:59 status unpacked libogg0:armhf 1.3.0-4
2013-01-10 23:14:59 install libflac8:armhf <none> 1.2.1-6build1
